AK,Alaska,0,99999999999,0
AL,Alabama,0,500,0.02
AL,Alabama,500,3000,0.04
AL,Alabama,3000,99999999999,0.05
AR,Arkansas,0,4000,0.02
AR,Arkansas,4000,8000,0.04
AR,Arkansas,8000,79300,0.059
AR,Arkansas,79300,99999999999,0.066
AZ,Arizona,0,26500,0.0259
AZ,Arizona,26500,53000,0.0334
AZs,Arizona,53000,159000,0.0417
AZ,Arizona,53000,159000,0.0417
AZ,Arizona,159000,99999999999,0.045
CA,California,0,8809,0.01
CA,California,8809,20883,0.02
CA,California,20883,32960,0.04
CA,California,32960,45753,0.06
CA,California,45753x,57824,0.08
CA,California,45753,57824,0.08
CA,California,57824,295373,0.093
CA,California,295373,354445,0.103
CA,California,354445,590742,0.113
CA,California,590742,1000000,0.123
CA,California,1000000,99999999999,0.133
CO,Colorado,0,99999999999,0.0463
CT,Connecticut,0,10000,0.03
CT,Connecticut,10000,50000,0.05
CT,Connecticut,50000,100000,0.055
CT,Connecticut,100000,200000,0.06
CT,Connecticut,100000,200000,,0.06
CT,Connecticut,200000,250000,0.065
CT,Connecticut,250000,500000,0.069
CT,Connecticut,500000,99999999999,0.0699
DC,Dist. Of Columbia,0,10000,0.04
DC,Dist. Of Columbia,10000,40000,0.06
DC,Dist. Of Columbia,40000,60000,0.065
DC,Dist. Of Columbia,60000,350000,0.085
DC,Dist. Of Columbia,350000,1000000,0.0875
DC,Dist. Of Columbia,1000000,99999999999,0.0895
DE,Delaware,2000,5000,0.022
DE,Delaware,5000,10000,0.039
DE,Delaware,10000,20000,0.048
DE,Delaware,20000,25000,0.052
DE,Delaware,20000,0.052
DE,Delaware,25000,60000,0.0555
DE,Delaware,60000,99999999999,0.066
FL,Florida,0,99999999999,0
GA,Georgia,0,750,0.01
GA,Georgia,750,2250,0.02
GA,Georgia,2250,3570,0.03
GA,Georgia,3570,5250,0.04
GA,Georgia,5250,7000,0.05
GA,Georgia,7000,99999999999,0.0575
HI,Hawaii,0,2400,0.014
HI,Hawaii,2400,4800,0.032
HI,Hawaii,4800,9600,0.055
HI,Hawaii,9600,14400,0.064
HI,Hawaii,14400,19200,0.068
HI,Hawaii,19200,24000,0.072
HI,Hawaii,24000,36000,0.076
HI,Hawaii,36000,48000,0.079
HI,Hawaii,48000,150000,0.0825
HI,Hawaii,48000,150000x,0.0825
HI,Hawaii,150000,175000,0.09
HI,Hawaii,175000,200000,0.1
HI,Hawaii,200000,99999999999,0.11
IA,Iowa,0,1638,0.0033
IA,Iowa,1638,3276,0.0067
IA,Iowa,3276,6552,0.0225
IA,Iowa,6552,14742,0.0414
IA,Iowa,14742,24570,0.0563
IA,Iowa,24570,32760,0.0596
IA,Iowa,32760,49140,0.0625
IA,Iowa,49140,73710,0.0744
IA,Iowa,73710,99999999999,0.0853
ID,Idaho,0,1541,0.0112
ID,Idaho,1541,3081,0.0312
ID,Idaho,3081,4622,0.0362
ID,Idaho,4622,6162,0.0462
ID,Idaho,6162,7703,0.0562
ID,Idaho,7703,11554,0.0662
ID,Idaho,11554,99999999999,0.0692
IL,Illinois,0,99999999999,0.0495
IN,Indiana,0,99999999999,0.0323
KS,Kansas,0,15000,0.031
KS,Kansas,15000,30000,0.0525
KS,Kansas,30000,99999999999,0.057
KY,Kentucky,0,99999999999,0.0495
LA,Louisiana,0,12500,0.02
LA,Louisiana,12500,50000,0.04
LA,Louisiana,50000,99999999999,0.06
MA,Massachusetts,0,99999999999,0.05
MD,Maryland,0,1000,0.02
MD,Maryland,1000,2000,0.03
MD,Maryland,2000,3000,0.04
MD,Maryland,2000,3000,0.04x
MD,Maryland,3000,100000,0.0475
MD,Maryland,100000,125000,0.05
MD,Maryland,125000,150000,0.0525
MD,Maryland,150000,250000,0.055
MD,Maryland,250000,99999999999,0.0575
ME,Maine,0,22200,0.058
ME,Maine,22200,52600,0.0675
ME,Maine,52600,99999999999,0.0715
MI,Michigan,0,99999999999,0.0425
MN,Minnesota,0,26960,0.0535
MN,Minnesota,26960,88550,0.068
MN,Minnesota,88550,164400,0.0785
MN,Minnesota,164400,99999999999,0.0985
MO,Missouri,105,1053,0.015
MO,Missouri,1053,2106,0.02
MO,Missouri,2106,3159,0.025
MO,Missouri,3159,4212,0.03
MO,Missouri,4212,5265,0.035
MO,Missouri,5265,6318,0.04
MO,Missouri,6318,7371,0.045
MO,Missouri,7371,8424,0.05
MO,Missouri,8424,99999999999,0.054
MS,Mississippi,1000,5000,0.03
MS,Mississippi,5000,10000,0.04
MS,Mississippi,10000,99999999999,0.05
MT,Montana,0,3100,0.01
MT,Montana,3100,5400,0.02
MT,Montana,5400,8200,0.03
MT,Montana,8200,11100,0.04
MT,Montana,11100,14300,0.05
MT,Montana,14300,18400,0.06
MT,Montana,18400,99999999999,0.069
NC,North Carolina,0,99999999999,0.0525
ND,North Dakota,0,39450,0.011
ND,North Dakota,39450,95500,0.0204
ND,North Dakota,95500,199250,0.0227
ND,North Dakota,199250,433200,0.0264
ND,North Dakota,433200,99999999999,0.029
NE,Nebraska,0,3230,0.0246
NE,Nebraska,3230,19330,0.0351
NE,Nebraska,19330,31160,0.0501
NE,Nebraska,31160,99999999999,0.0684
NH,New Hampshire,0,99999999999,0.05
NJ,New Jersey,0,20000,0.014
NJ,New Jersey,20000,35000,0.0175
NJ,New Jersey,35000,40000,0.035
NJ,New Jersey,40000,75000,0.0553
NJ,New Jersey,75000,500000,0.0637
NJ,New Jersey,500000,5000000,0.0897
NJ,New Jersey,5000000,99999999999,0.1075
NM,New Mexico,0,5500,0.017
NM,New Mexico,5500,11000,0.032
NM,New Mexico,11000,16000,0.047
NM,New Mexico,16000,99999999999,0.049
NV,Nevada,0,99999999999,0
NY,New York,0,8500,0.04
NY,New York,8500,11700,0.045
NY,New York,11700,13900,0.0525
NY,New York,13900,21400,0.059
NY,New York,21400,80650,0.0621
NY,New York,80650,215400,0.0649
NY,New York,215400,1077550,0.0685
NY,New York,1077550,99999999999,0.0882
OH,Ohio,21750,43450,0.0285
OH,Ohio,43450,86900,0.0333
OH,Ohio,86900,108700,0.038
OH,Ohio,108700,217400,0.0441
OH,Ohio,217400,99999999999,0.048
OK,Oklahoma,0,1000,0.005
OK,Oklahoma,1000,2500,0.01
OK,Oklahoma,2500,3750,0.02
OK,Oklahoma,3750,4900,0.03
OK,Oklahoma,4900,7200,0.04
OK,Oklahoma,7200,99999999999,0.05
OR,Oregon,0,3550,0.05
OR,Oregon,3550,8900,0.07
OR,Oregon,8900,125000,0.09
OR,Oregon,125000,99999999999,0.099
PA,Pennsylvania,0,99999999999,0.0317
RI,Rhode Island,0,65250,0.0375
RI,Rhode Island,65250,148350,0.0475
RI,Rhode Island,148350,99999999999,0.0599
SC,South Carolina,3070,6150,0.03
SC,South Carolina,6150,9230,0.04
SC,South Carolina,9230,12310,0.05
SC,South Carolina,12310,15400,0.06
SC,South Carolina,15400,99999999999,0.07
SD,South Dakota,0,99999999999,0
TN,Tennessee,0,99999999999,0.01
TX,Texas,0,99999999999,0
UT,Utah,0,99999999999,0.0495
VA,Virginia,0,3000,0.02
VA,Virginia,3000,5000,0.03
VA,Virginia,5000,17000,0.05
VA,Virginia,17000,99999999999,0.0575
VT,Vermont,0,39600,0.0335
VT,Vermont,39600,96000,0.066
VT,Vermont,96000,200200,0.076
VT,Vermont,200200,99999999999,0.0875
WA,Washington,0,99999999999,0
WI,Wisconsin,0,11970,0.04
WI,Wisconsin,11970,23930,0.0521
WI,Wisconsin,23930,263480,0.0627
WI,Wisconsin,263480,99999999999,0.0765
WV,West Virginia,0,10000,0.03
WV,West Virginia,10000,25000,0.04
WV,West Virginia,25000,40000,0.045
WV,West Virginia,40000,60000,0.06
WV,West Virginia,60000,99999999999,0.065
WY,Wyoming,0,99999999999,0
